proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Тархун газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"1,2 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,,new,high,,"Вкус×тара на официальной карточке Premium (ПЭТ 1,2)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Гранат газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"1,2 л",ПЭТ,Гранат,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,,new,high,,"Вкус×тара на официальной карточке Premium (ПЭТ 1,2)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Фейхоа газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"1,2 л",ПЭТ,Фейхоа,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,,new,high,,"Вкус×тара на официальной карточке Premium (ПЭТ 1,2)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный Бавария Premium Вишня газированная, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,Premium лимонад / газированный напиток,"1,2 л",ПЭТ,Вишня,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,,new,high,,"Вкус×тара на официальной карточке Premium (ПЭТ 1,2)",site assortment text,shared-line-image
BAVARIA-BAVARIYA-GRUSHA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Груша газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-APELSIN-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Апельсин газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-TARHUN-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Тархун газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Питахайя газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Питахайя,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-MOHITO-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Мохито газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Мохито,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-KOLA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Кола газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Кола,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,,new,high,,"Site assortment ПЭТ 1,5",site,shared-line-image
BAVARIA-BAVARIYA-GRUSHA-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Груша газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,,new,high,,"Site assortment ПЭТ 0,5",site,shared-line-image
BAVARIA-BAVARIYA-TARHUN-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Тархун газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,,new,high,,"Site assortment ПЭТ 0,5",site,shared-line-image
BAVARIA-BAVARIYA-KOLA-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Кола газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Кола,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,,new,high,,"Site assortment ПЭТ 0,5",site,shared-line-image
BAVARIA-LIMNADA-ANANAS-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Ананас газированная, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Ананас,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,,new,high,,"Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5",site,shared-line-image
BAVARIA-LIMNADA-KREM-SODA-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Крем-Сода газированная, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Крем-Сода,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,,new,high,,"Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5",site,shared-line-image
BAVARIA-LIMNADA-DYUSHES-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Дюшес газированная, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Дюшес,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,,new,high,,"Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5",site,shared-line-image
BAVARIA-LIMNADA-BARBARIS-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Барбарис газированная, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Барбарис,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,,new,high,,"Site: Ананас/Крем-Сода/Дюшес/Барбарис ПЭТ 1,5",site,shared-line-image
BAVARIA-LIMNADA-KREM-SODA-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Крем-Сода газированная, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Крем-Сода,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,,new,high,,"Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)",site,shared-line-image
BAVARIA-LIMNADA-DYUSHES-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Дюшес газированная, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Дюшес,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,,new,high,,"Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)",site,shared-line-image
BAVARIA-LIMNADA-BARBARIS-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Барбарис газированная, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Барбарис,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,,new,high,,"Site: Крем-Сода/Дюшес/Барбарис ПЭТ 0,5 (без Ананас)",site,shared-line-image
BAVARIA-BAVARIYA-RETRO-YUZHNAYA-CHAYKA-450-GLASS,Сладкие газированные напитки линейки «Ретро»,"Напиток газированный Бавария Южная Чайка газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Южная Чайка,газированная,,,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,,new,high,,Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена),site variant titles + packs,exact
BAVARIA-BAVARIYA-RETRO-YUZHNAYA-CHAYKA-500-PET,Сладкие газированные напитки линейки «Ретро»,"Напиток газированный Бавария Южная Чайка газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Южная Чайка,газированная,,,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,,new,high,,Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена),site variant titles + packs,exact
BAVARIA-BAVARIYA-RETRO-RODNYE-OGONKI-450-GLASS,Сладкие газированные напитки линейки «Ретро»,"Напиток газированный Бавария Родные Огоньки газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Родные Огоньки,газированная,,,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,,new,high,,Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена),site variant titles + packs,exact
BAVARIA-BAVARIYA-RETRO-RODNYE-OGONKI-500-PET,Сладкие газированные напитки линейки «Ретро»,"Напиток газированный Бавария Родные Огоньки газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Родные Огоньки,газированная,,,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,,new,high,,Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена),site variant titles + packs,exact
BAVARIA-BAVARIYA-RETRO-ZAPOVEDNAYA-TAYGA-450-GLASS,Сладкие газированные напитки линейки «Ретро»,"Напиток газированный Бавария Заповедная Тайга газированная, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,45 л",стекло,Заповедная Тайга,газированная,,,https://www.bavaria-group.ru/beer-product/sladkij-silnogazirovannyj-napitok-cajka,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,,new,high,,Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена),site variant titles + packs,exact
BAVARIA-DREAMIX-INDIAN-TONIK-1000-PET,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Indian Tonik газированная, 1 л, ПЭТ",Dreamix,ГК ПД «Бавария»,Тоники,,1 л,ПЭТ,Indian Tonik,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,,new,high,,Безалкогольный тоник Dreamix: вкус и фасовка на карточке,site,exact
BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Indian Tonik газированная, 0,33 л, стекло",Dreamix,ГК ПД «Бавария»,Тоники,,"0,33 л",стекло,Indian Tonik,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,,new,high,,Безалкогольный тоник Dreamix: вкус и фасовка на карточке,site,exact
BAVARIA-DREAMIX-BITTER-LEMON-1000-PET,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Bitter Lemon газированная, 1 л, ПЭТ",Dreamix,ГК ПД «Бавария»,Тоники,,1 л,ПЭТ,Bitter Lemon,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,,new,high,,Безалкогольный тоник Dreamix: вкус и фасовка на карточке,site,exact
BAVARIA-DREAMIX-BITTER-LEMON-330-GLASS,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Bitter Lemon газированная, 0,33 л, стекло",Dreamix,ГК ПД «Бавария»,Тоники,,"0,33 л",стекло,Bitter Lemon,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,,new,high,,Безалкогольный тоник Dreamix: вкус и фасовка на карточке,site,exact
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-450-CAN,«BLACK ROCKET»,"Напиток энергетический BLACK ROCKET, 0,45 л, банка",BLACK ROCKET,ГК ПД «Бавария»,Энергетические напитки,,"0,45 л",банка,BLACK ROCKET,,,,https://www.bavaria-group.ru/beer-product/black-rocket,https://www.bavaria-group.ru/files/beer_items/89_1726224339.png,,new,high,,Фасовки на карточке BLACK ROCKET,site,exact
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-500-PET,«BLACK ROCKET»,"Напиток энергетический BLACK ROCKET, 0,5 л, ПЭТ",BLACK ROCKET,ГК ПД «Бавария»,Энергетические напитки,,"0,5 л",ПЭТ,BLACK ROCKET,,,,https://www.bavaria-group.ru/beer-product/black-rocket,https://www.bavaria-group.ru/files/beer_items/90_1726224400.png,,new,high,,Фасовки на карточке BLACK ROCKET,site,exact
BAVARIA-HONG-EZHEVIKA-500-PET,"Сильногазированные безалкогольные напитки ""Хонга""","Напиток газированный ХОНГÆ Ежевика газированная, 0,5 л, ПЭТ",ХОНГÆ,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Ежевика,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannye-bezalkogolnye-napitki-honga,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,,new,high,,"Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)",site,shared-line-image
BAVARIA-HONG-CHERESHNYA-500-PET,"Сильногазированные безалкогольные напитки ""Хонга""","Напиток газированный ХОНГÆ Черешня газированная, 0,5 л, ПЭТ",ХОНГÆ,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Черешня,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannye-bezalkogolnye-napitki-honga,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,,new,high,,"Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)",site,shared-line-image
BAVARIA-HONG-VINOGRAD-500-PET,"Сильногазированные безалкогольные напитки ""Хонга""","Напиток газированный ХОНГÆ Виноград газированная, 0,5 л, ПЭТ",ХОНГÆ,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Виноград,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannye-bezalkogolnye-napitki-honga,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,,new,high,,"Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)",site,shared-line-image
BAVARIA-HONG-YABLOKO-SHELKOVITSA-500-PET,"Сильногазированные безалкогольные напитки ""Хонга""","Напиток газированный ХОНГÆ Яблоко-шелковица газированная, 0,5 л, ПЭТ",ХОНГÆ,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Яблоко-шелковица,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannye-bezalkogolnye-napitki-honga,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,,new,high,,"Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)",site,shared-line-image
BAVARIA-BAVARIYA-NEW-ORANGE-500-PET,New Orange,"Напиток газированный Бавария New Orange газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,New Orange,газированная,,,https://www.bavaria-group.ru/beer-product/new-orange,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,,new,high,,"New Orange фасовки ПЭТ 0,5/1/1,5",site,exact
BAVARIA-BAVARIYA-NEW-ORANGE-1000-PET,New Orange,"Напиток газированный Бавария New Orange газированная, 1 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,1 л,ПЭТ,New Orange,газированная,,,https://www.bavaria-group.ru/beer-product/new-orange,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,,new,high,,"New Orange фасовки ПЭТ 0,5/1/1,5",site,exact
BAVARIA-BAVARIYA-NEW-ORANGE-1500-PET,New Orange,"Напиток газированный Бавария New Orange газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,New Orange,газированная,,,https://www.bavaria-group.ru/beer-product/new-orange,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,,new,high,,"New Orange фасовки ПЭТ 0,5/1/1,5",site,exact
BAVARIA-SWIPE-SWIPE-1500-PET,Сильногазированный напиток «SWIPE»,"Напиток газированный SWIPE газированная, 1,5 л, ПЭТ",SWIPE,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,SWIPE,газированная,,,https://www.bavaria-group.ru/beer-product/swipe,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,,new,high,,"Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)",site: Стекло 0.33 л,shared-line-image
BAVARIA-SWIPE-SWIPE-500-PET,Сильногазированный напиток «SWIPE»,"Напиток газированный SWIPE газированная, 0,5 л, ПЭТ",SWIPE,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,SWIPE,газированная,,,https://www.bavaria-group.ru/beer-product/swipe,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,,new,high,,"Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)",site: Стекло 0.33 л,shared-line-image
BAVARIA-SWIPE-SWIPE-330-GLASS,Сильногазированный напиток «SWIPE»,"Напиток газированный SWIPE газированная, 0,33 л, стекло",SWIPE,ГК ПД «Бавария»,Газированные напитки,,"0,33 л",стекло,SWIPE,газированная,,,https://www.bavaria-group.ru/beer-product/swipe,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,,new,high,,"Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)",site: Стекло 0.33 л,shared-line-image
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-1500-PET,Кола Premium LIMITED EDITION,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"1,5 л",ПЭТ,Кола Premium LIMITED EDITION,газированная,,,https://www.bavaria-group.ru/beer-product/kola-limited-edition,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,,new,high,,"Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)",site,shared-line-image
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-500-PET,Кола Premium LIMITED EDITION,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,,"0,5 л",ПЭТ,Кола Premium LIMITED EDITION,газированная,,,https://www.bavaria-group.ru/beer-product/kola-limited-edition,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,,new,high,,"Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)",site,shared-line-image
