proposed_sku,status,image_url,image_match,proposed_name,notes
BAVARIA-BAVARIYA-RETRO-ZAPOVEDNAYA-TAYGA-450-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,exact,"Напиток газированный Бавария Заповедная Тайга газированная, 0,45 л, стекло",Официальные вкусы Ретро с уникальными SKU (коллизия dry-run устранена)
BAVARIA-DREAMIX-INDIAN-TONIK-1000-PET,approved,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,exact,"Тоник Dreamix Indian Tonik газированная, 1 л, ПЭТ",Безалкогольный тоник Dreamix: вкус и фасовка на карточке
BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,exact,"Тоник Dreamix Indian Tonik газированная, 0,33 л, стекло",Безалкогольный тоник Dreamix: вкус и фасовка на карточке
BAVARIA-DREAMIX-BITTER-LEMON-1000-PET,approved,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,exact,"Тоник Dreamix Bitter Lemon газированная, 1 л, ПЭТ",Безалкогольный тоник Dreamix: вкус и фасовка на карточке
BAVARIA-DREAMIX-BITTER-LEMON-330-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,exact,"Тоник Dreamix Bitter Lemon газированная, 0,33 л, стекло",Безалкогольный тоник Dreamix: вкус и фасовка на карточке
BAVARIA-DREAMIX-UNSIGNED-0-1500-PET,manual,https://www.bavaria-group.ru/files/beer_items/98_1743082462.jpg,none,"Напиток газированный Dreamix (вкус не подписан, img#0), фасовки 1,5/0,5 ПЭТ и 0,33 банка","Безалкогольность подтверждена названием карточки; официальные названия вкусов пустые (title=''). Не утверждать SKU до подписи вкуса. Фасовки линейки: ПЭТ 1,5 | ПЭТ 0,5 | ЖБ 0,33."
BAVARIA-DREAMIX-UNSIGNED-1-1500-PET,manual,https://www.bavaria-group.ru/files/beer_items/100_1743082523.jpg,none,"Напиток газированный Dreamix (вкус не подписан, img#1), фасовки 1,5/0,5 ПЭТ и 0,33 банка","Безалкогольность подтверждена названием карточки; официальные названия вкусов пустые (title=''). Не утверждать SKU до подписи вкуса. Фасовки линейки: ПЭТ 1,5 | ПЭТ 0,5 | ЖБ 0,33."
BAVARIA-DREAMIX-UNSIGNED-2-1500-PET,manual,https://www.bavaria-group.ru/files/beer_items/101_1743082539.jpg,none,"Напиток газированный Dreamix (вкус не подписан, img#2), фасовки 1,5/0,5 ПЭТ и 0,33 банка","Безалкогольность подтверждена названием карточки; официальные названия вкусов пустые (title=''). Не утверждать SKU до подписи вкуса. Фасовки линейки: ПЭТ 1,5 | ПЭТ 0,5 | ЖБ 0,33."
BAVARIA-DREAMIX-UNSIGNED-3-1500-PET,manual,https://www.bavaria-group.ru/files/beer_items/102_1743082553.jpg,none,"Напиток газированный Dreamix (вкус не подписан, img#3), фасовки 1,5/0,5 ПЭТ и 0,33 банка","Безалкогольность подтверждена названием карточки; официальные названия вкусов пустые (title=''). Не утверждать SKU до подписи вкуса. Фасовки линейки: ПЭТ 1,5 | ПЭТ 0,5 | ЖБ 0,33."
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-450-CAN,approved,https://www.bavaria-group.ru/files/beer_items/89_1726224339.png,exact,"Напиток энергетический BLACK ROCKET, 0,45 л, банка",Фасовки на карточке BLACK ROCKET
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/90_1726224400.png,exact,"Напиток энергетический BLACK ROCKET, 0,5 л, ПЭТ",Фасовки на карточке BLACK ROCKET
BAVARIA-ROCKETRIDE-ROCKET-RIDE-CLASSIC-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/105_1757076183.png,exact,Напиток энергетический Rocket Ride Rocket Ride Classic,Вкус подтверждён на сайте; объём и тара на карточке отсутствуют. Буклет pp.17–40 недоступен визуально — не утверждать фасовку.
BAVARIA-ROCKETRIDE-ROCKET-RIDE-MANGO-APRICOT-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/106_1757076512.png,exact,Напиток энергетический Rocket Ride Rocket Ride Mango-Apricot,Вкус подтверждён на сайте; объём и тара на карточке отсутствуют. Буклет pp.17–40 недоступен визуально — не утверждать фасовку.
BAVARIA-ROCKETRIDE-ROCKET-RIDE-ENERGY-KIVI-YABLO-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/107_1757076818.png,exact,Напиток энергетический Rocket Ride Rocket Ride Energy Киви-Яблоко,Вкус подтверждён на сайте; объём и тара на карточке отсутствуют. Буклет pp.17–40 недоступен визуально — не утверждать фасовку.
BAVARIA-ROCKETRIDE-ROCKET-RIDE-ENERGY-DIKIE-YAGO-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/108_1757077083.png,exact,Напиток энергетический Rocket Ride Rocket Ride Energy Дикие Ягоды,Вкус подтверждён на сайте; объём и тара на карточке отсутствуют. Буклет pp.17–40 недоступен визуально — не утверждать фасовку.
BAVARIA-ROCKETRIDE-ROCKET-RIDE-ENERGY-LAYM-LEMON-450-CAN,manual,https://www.bavaria-group.ru/files/beer_items/109_1757077306.png,exact,Напиток энергетический Rocket Ride Rocket Ride Energy Лайм-Лемонграс,Вкус подтверждён на сайте; объём и тара на карточке отсутствуют. Буклет pp.17–40 недоступен визуально — не утверждать фасовку.
BAVARIA-HONG-EZHEVIKA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,shared-line-image,"Напиток газированный ХОНГÆ Ежевика газированная, 0,5 л, ПЭТ","Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)"
BAVARIA-HONG-CHERESHNYA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,shared-line-image,"Напиток газированный ХОНГÆ Черешня газированная, 0,5 л, ПЭТ","Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)"
BAVARIA-HONG-VINOGRAD-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,shared-line-image,"Напиток газированный ХОНГÆ Виноград газированная, 0,5 л, ПЭТ","Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)"
BAVARIA-HONG-YABLOKO-SHELKOVITSA-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,shared-line-image,"Напиток газированный ХОНГÆ Яблоко-шелковица газированная, 0,5 л, ПЭТ","Хонга: вкусы + формат 0,5 л на карточке (безалкогольные)"
BAVARIA-BAVARIYA-NEW-ORANGE-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,exact,"Напиток газированный Бавария New Orange газированная, 0,5 л, ПЭТ","New Orange фасовки ПЭТ 0,5/1/1,5"
BAVARIA-BAVARIYA-NEW-ORANGE-1000-PET,approved,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,exact,"Напиток газированный Бавария New Orange газированная, 1 л, ПЭТ","New Orange фасовки ПЭТ 0,5/1/1,5"
BAVARIA-BAVARIYA-NEW-ORANGE-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,exact,"Напиток газированный Бавария New Orange газированная, 1,5 л, ПЭТ","New Orange фасовки ПЭТ 0,5/1/1,5"
BAVARIA-SWIPE-SWIPE-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,shared-line-image,"Напиток газированный SWIPE газированная, 1,5 л, ПЭТ","Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)"
BAVARIA-SWIPE-SWIPE-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,shared-line-image,"Напиток газированный SWIPE газированная, 0,5 л, ПЭТ","Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)"
BAVARIA-SWIPE-SWIPE-330-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,shared-line-image,"Напиток газированный SWIPE газированная, 0,33 л, стекло","Исправлен объём стекло 0,33 (dry-run ошибочно дал 33 л)"
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,shared-line-image,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 1,5 л, ПЭТ","Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)"
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,shared-line-image,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 0,5 л, ПЭТ","Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)"
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-500-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,shared-line-image,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 0,5 л, стекло","Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)"
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-330-GLASS,approved,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,shared-line-image,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 0,33 л, стекло","Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)"
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-330-CAN,approved,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,shared-line-image,"Напиток газированный Бавария Кола Premium LIMITED EDITION газированная, 0,33 л, банка","Фасовки на карточке Кола Premium LIMITED EDITION; А/Б 0,33 = банка (не ПЭТ)"
BAVARIA-BAVARIYA-KOLA-SF-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,exact,"Напиток газированный Бавария Кола Premium SUGAR FREE газированная, 1,5 л, ПЭТ","Кола Premium SUGAR FREE ПЭТ 1,5/1/0,5"
BAVARIA-BAVARIYA-KOLA-SF-1000-PET,approved,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,exact,"Напиток газированный Бавария Кола Premium SUGAR FREE газированная, 1 л, ПЭТ","Кола Premium SUGAR FREE ПЭТ 1,5/1/0,5"
BAVARIA-BAVARIYA-KOLA-SF-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,exact,"Напиток газированный Бавария Кола Premium SUGAR FREE газированная, 0,5 л, ПЭТ","Кола Premium SUGAR FREE ПЭТ 1,5/1/0,5"
BAVARIA-COLALE-COLA-LE-1500-PET,approved,,shared-line-image,"Напиток газированный Cola Limited Edition газированная, 1,5 л, ПЭТ",СТМ Cola Limited Edition — безалкогольный газированный напиток (описание сети Bristol); фасовки на карточках
BAVARIA-COLALE-COLA-LE-500-PET,approved,,shared-line-image,"Напиток газированный Cola Limited Edition газированная, 0,5 л, ПЭТ",СТМ Cola Limited Edition — безалкогольный газированный напиток (описание сети Bristol); фасовки на карточках
BAVARIA-COLALE-COLA-LE-450-GLASS,approved,,shared-line-image,"Напиток газированный Cola Limited Edition газированная, 0,45 л, стекло",СТМ Cola Limited Edition — безалкогольный газированный напиток (описание сети Bristol); фасовки на карточках
BAVARIA-COLALE-COLA-LE-330-CAN,approved,,shared-line-image,"Напиток газированный Cola Limited Edition газированная, 0,33 л, банка",СТМ Cola Limited Edition — безалкогольный газированный напиток (описание сети Bristol); фасовки на карточках
BAVARIA-BAVARIYA-MOHITO-KLUBNIKA-ZEMLYANIKA-450-CAN,approved,https://www.bavaria-group.ru/files/beer_items/131_1780557583.png,exact,"Напиток газированный Бавария Мохито Клубника-Земляника газированная, 0,45 л, банка","Безалкогольный мохито, А/Б 0,45 на карточке"
BAVARIA-BAVARIYA-MOHITO-FRESH-LIME-MINT-SVEZHI-450-CAN,approved,https://www.bavaria-group.ru/files/beer_items/132_1780557699.png,exact,"Напиток газированный Бавария Мохито Fresh Lime & Mint (Свежий Лайм & Мята) газированная, 0,45 л, банка","Безалкогольный мохито, А/Б 0,45 на карточке"
BAVARIA-MOUNTEA-PERSIK-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/28_1758711718.png,shared-line-image,"Холодный чай MOUNTEA Персик, 1,5 л, ПЭТ","Mountea Персик/Лесные ягоды ПЭТ 1,5 и 0,5"
BAVARIA-MOUNTEA-PERSIK-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/28_1758711718.png,shared-line-image,"Холодный чай MOUNTEA Персик, 0,5 л, ПЭТ","Mountea Персик/Лесные ягоды ПЭТ 1,5 и 0,5"
BAVARIA-MOUNTEA-PERSIK-330-CAN,approved,https://www.bavaria-group.ru/files/beer_items/67_1758711780.png,shared-line-image,"Холодный чай MOUNTEA Персик, 0,33 л, банка","Mountea ЖБ 0,33 Персик/Лесные ягоды"
BAVARIA-MOUNTEA-LESNYE-YAGODY-1500-PET,approved,https://www.bavaria-group.ru/files/beer_items/28_1758711718.png,shared-line-image,"Холодный чай MOUNTEA Лесные ягоды, 1,5 л, ПЭТ","Mountea Персик/Лесные ягоды ПЭТ 1,5 и 0,5"
BAVARIA-MOUNTEA-LESNYE-YAGODY-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/28_1758711718.png,shared-line-image,"Холодный чай MOUNTEA Лесные ягоды, 0,5 л, ПЭТ","Mountea Персик/Лесные ягоды ПЭТ 1,5 и 0,5"
BAVARIA-MOUNTEA-LESNYE-YAGODY-330-CAN,approved,https://www.bavaria-group.ru/files/beer_items/67_1758711780.png,shared-line-image,"Холодный чай MOUNTEA Лесные ягоды, 0,33 л, банка","Mountea ЖБ 0,33 Персик/Лесные ягоды"
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GOR-1000-PET,approved,https://www.bavaria-group.ru/files/beer_items/135_1783424099.jpg,shared-line-image,"Холодный чай MOUNTEA botanic Черный чай с лимоном и горной мятой, 1 л, ПЭТ","MOUNTEA botanic ассортимент × ПЭТ 1,0 / 0,5 / АБ 0,33"
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GORN-500-PET,approved,https://www.bavaria-group.ru/files/beer_items/135_1783424099.jpg,shared-line-image,"Холодный чай MOUNTEA botanic Черный чай с лимоном и горной мятой, 0,5 л, ПЭТ","MOUNTEA botanic ассортимент × ПЭТ 1,0 / 0,5 / АБ 0,33"
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GORN-330-CAN,approved,https://www.bavaria-group.ru/files/beer_items/135_1783424099.jpg,shared-line-image,"Холодный чай MOUNTEA botanic Черный чай с лимоном и горной мятой, 0,33 л, банка","MOUNTEA botanic ассортимент × ПЭТ 1,0 / 0,5 / АБ 0,33"
