proposed_sku,official_name,proposed_name,brand,manufacturer,category,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,image_class,duplicate_status,confidence,review_status,notes,sources
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Апельсин, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Апельсин,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Тархун, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Тархун,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Тархун, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,2 л",ПЭТ,Тархун,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Фейхоа, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Фейхоа,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Фейхоа, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,2 л",ПЭТ,Фейхоа,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Вишня, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",стекло,Вишня,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,Сладкие газированные напитки «Premium»,"Напиток газированный «Бавария Premium» Вишня, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,2 л",ПЭТ,Вишня,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,shared-line-image,new,high,APPROVED,Вкус×тара: сайт assortment + PDF Premium page tastes/packs,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pPremium-section; website
BAVARIA-BAVARIYA-TARHUN-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Тархун, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Тархун,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-TARHUN-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Тархун, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Тархун,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-GRUSHA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Груша, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Груша,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-GRUSHA-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Груша, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Груша,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Питахайя, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Питахайя,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-APELSIN-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Апельсин, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Апельсин,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-KOLA-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Кола, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Кола,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-KOLA-500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Кола, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Кола,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-BAVARIYA-MOHITO-1500-PET,Сладкие газированные напитки,"Напиток газированный Бавария Мохито, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Мохито,газированная,с сахаром,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,Сайт assortment по фасовке + PDF taste list,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf; website
BAVARIA-LIMNADA-BARBARIS-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Барбарис, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Барбарис,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-BARBARIS-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Барбарис, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Барбарис,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-DYUSHES-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Дюшес, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Дюшес,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-DYUSHES-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Дюшес, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Дюшес,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-ANANAS-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Ананас, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Ананас,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-KREM-SODA-500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Крем-сода, 0,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"0,5 л",ПЭТ,Крем-сода,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-LIMNADA-KREM-SODA-1500-PET,Сильногазированный напиток «Лимнада»,"Напиток газированный Лимнада Крем-сода, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"1,5 л",ПЭТ,Крем-сода,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,shared-line-image,new,high,APPROVED,PDF tastes + website pack-specific assortment,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pLimnada-section; website
BAVARIA-DOBRETSOV-KVASS-1200-PET,Квас «Добрецовъ»,"Квас Добрецовъ, 1,2 л, ПЭТ",Добрецовъ,ГК ПД «Бавария»,Квас,"1,2 л",ПЭТ,,,,,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,,,none,new,high,APPROVED,Потребительская фасовка по буклету; кеги исключены,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pKvass-section
BAVARIA-DOBRETSOV-KVASS-450-CAN,Квас «Добрецовъ»,"Квас Добрецовъ, 0,45 л, банка",Добрецовъ,ГК ПД «Бавария»,Квас,"0,45 л",банка,,,,,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,,,none,new,high,APPROVED,Потребительская фасовка по буклету; кеги исключены,pdf:БУКЛЕТ БАВАРИЯ 2026.pdf#pKvass-section
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-450-CAN,«BLACK ROCKET»,"Напиток энергетический BLACK ROCKET, 0,45 л, банка",BLACK ROCKET,ГК ПД «Бавария»,Энергетические напитки,"0,45 л",банка,BLACK ROCKET,,,,https://www.bavaria-group.ru/beer-product/black-rocket,https://www.bavaria-group.ru/files/beer_items/89_1726224339.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-black-rocket-black-rocket-0-45-l-banka.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-BLACK-ROCKET-BLACK-ROCKET-500-PET,«BLACK ROCKET»,"Напиток энергетический BLACK ROCKET, 0,5 л, ПЭТ",BLACK ROCKET,ГК ПД «Бавария»,Энергетические напитки,"0,5 л",ПЭТ,BLACK ROCKET,,,,https://www.bavaria-group.ru/beer-product/black-rocket,https://www.bavaria-group.ru/files/beer_items/90_1726224400.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-black-rocket-black-rocket-0-5-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-DREAMIX-INDIAN-TONIK-GAZIROVANNAYA-1000-PET,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Indian Tonik газированная, 1 л, ПЭТ",Dreamix,ГК ПД «Бавария»,Тоники,1 л,ПЭТ,Indian Tonik,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-indian-tonik-1-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-DREAMIX-INDIAN-TONIK-GAZIROVANNAYA-330-GLASS,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Indian Tonik газированная, 0,33 л, стекло",Dreamix,ГК ПД «Бавария»,Тоники,"0,33 л",стекло,Indian Tonik,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-indian-tonik-1-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-DREAMIX-BITTER-LEMON-GAZIROVANNAYA-1000-PET,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Bitter Lemon газированная, 1 л, ПЭТ",Dreamix,ГК ПД «Бавария»,Тоники,1 л,ПЭТ,Bitter Lemon,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-bitter-lemon-1-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-DREAMIX-BITTER-LEMON-GAZIROVANNAYA-330-GLASS,"Безалкогольные сильногазированные напитки ""Dreamix. Toniс""","Тоник Dreamix Bitter Lemon газированная, 0,33 л, стекло",Dreamix,ГК ПД «Бавария»,Тоники,"0,33 л",стекло,Bitter Lemon,газированная,,0,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/files/beer_items/128_1775214996.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dreamix-bitter-lemon-1-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-TBAU-GORNAA-RODNIKOVAA-VODA-TBAU-5000-PET,Горная родниковая вода «ТБАУ Детская»,"Вода питьевая TBAU, 5 л, ПЭТ",TBAU,ГК ПД «Бавария»,Питьевая вода,5 л,ПЭТ,,,,,https://www.bavaria-group.ru/beer-product/gornaa-rodnikovaa-voda-tbau-detskaa,https://www.bavaria-group.ru/files/beer_items/30_1758714960.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-gornaya-rodnikovaya-5-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
BAVARIA-TBAU-GORNAA-RODNIKOVAA-VODA-TBAU-1500-PET,Горная родниковая вода «ТБАУ Детская»,"Вода питьевая TBAU, 1,5 л, ПЭТ",TBAU,ГК ПД «Бавария»,Питьевая вода,"1,5 л",ПЭТ,,,,,https://www.bavaria-group.ru/beer-product/gornaa-rodnikovaa-voda-tbau-detskaa,https://www.bavaria-group.ru/files/beer_items/30_1758714960.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-gornaya-rodnikovaya-5-l-pet.png,exact-site,new,high,APPROVED,,website-dry-run; pending deeper PDF pages 17–40 audit
