sku,brand,flavor,description
BAVARIA-TBAU-PREMIUM-GAZIROVANNAYA-330-GLASS,TBAU,TBAU Premium,Газированная питьевая вода TBAU в стеклянной бутылке.
BAVARIA-TBAU-PREMIUM-NEGAZIROVANNAYA-330-GLASS,TBAU,TBAU Premium не,Негазированная питьевая вода TBAU в стеклянной бутылке.
BAVARIA-TBAU-PREMIUM-GAZIROVANNAYA-450-GLASS,TBAU,TBAU Premium,"Газированная питьевая вода TBAU в стеклянной бутылке, объёмом 0,45 л."
BAVARIA-TBAU-PREMIUM-NEGAZIROVANNAYA-450-GLASS,TBAU,TBAU Premium не,"Негазированная питьевая вода TBAU в стеклянной бутылке, объёмом 0,45 л."
BAVARIA-TBAU-PREMIUM-GAZIROVANNAYA-500-GLASS,TBAU,TBAU Premium,"Газированная питьевая вода TBAU в стеклянной бутылке, объёмом 0,5 л."
BAVARIA-TBAU-PREMIUM-NEGAZIROVANNAYA-500-GLASS,TBAU,TBAU Premium не,"Негазированная питьевая вода TBAU в стеклянной бутылке, объёмом 0,5 л."
BAVARIA-AVARAL-AVARAL-450-GLASS,Аварал,Аварал,Питьевая вода Аварал в стеклянной бутылке.
BAVARIA-AYVA-AYVA-STILL-500-GLASS,Айва,Айва,Негазированная питьевая вода Айва в стеклянной бутылке.
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-330-GLASS,Бавария,Кола Premium LIMITED EDITION,Бавария Кола Premium LIMITED EDITION — сильногазированный безалкогольный напиток со вкусом колы в стеклянной бутылке.
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,Бавария,Груша,Бавария Груша — сильногазированный безалкогольный напиток со вкусом «Груша» в стеклянной бутылке.
BAVARIA-BAVARIYA-RETRO-ZAPOVEDNAYA-TAYGA-450-GLASS,Бавария,Заповедная Тайга,Бавария Заповедная Тайга — сильногазированный безалкогольный напиток со вкусом «Заповедная Тайга» в стеклянной бутылке.
BAVARIA-BAVARIYA-MOHITO-450-GLASS,Бавария,Мохито,Бавария Мохито — сильногазированный безалкогольный напиток со вкусом «Мохито» в стеклянной бутылке.
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,Бавария,Питахайя,Бавария Питахайя — сильногазированный безалкогольный напиток со вкусом «Питахайя» в стеклянной бутылке.
BAVARIA-BAVARIYA-RETRO-RODNYE-OGONKI-450-GLASS,Бавария,Родные Огоньки,Бавария Родные Огоньки — сильногазированный безалкогольный напиток со вкусом «Родные Огоньки» в стеклянной бутылке.
BAVARIA-BAVARIYA-TARHUN-450-GLASS,Бавария,Тархун,Бавария Тархун — сильногазированный безалкогольный напиток со вкусом «Тархун» в стеклянной бутылке.
BAVARIA-BAVARIYA-RETRO-YUZHNAYA-CHAYKA-450-GLASS,Бавария,Южная Чайка,Бавария Южная Чайка — сильногазированный безалкогольный напиток со вкусом «Южная Чайка» в стеклянной бутылке.
BAVARIA-BAVARIYA-ELF-450-GLASS,Бавария,Elf,Бавария Elf — безалкогольное пиво в стеклянной бутылке.
BAVARIA-BAVARIYA-GALLAGHER-NA-450-GLASS,Бавария,Gallagher,Бавария Gallagher — безалкогольное пиво в стеклянной бутылке.
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,Бавария,Светлое,Бавария Светлое — безалкогольное пиво в стеклянной бутылке.
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,Бавария,Апельсин,Бавария Апельсин — сильногазированный безалкогольный напиток со вкусом «Апельсин» в стеклянной бутылке.
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,Бавария,Виноград,Бавария Виноград — сильногазированный безалкогольный напиток со вкусом «Виноград» в стеклянной бутылке.
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,Бавария,Вишня,Бавария Вишня — сильногазированный безалкогольный напиток со вкусом «Вишня» в стеклянной бутылке.
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,Бавария,Гранат,Бавария Гранат — сильногазированный безалкогольный напиток со вкусом «Гранат» в стеклянной бутылке.
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,Бавария,Груша,"Бавария Груша — сильногазированный безалкогольный напиток со вкусом «Груша» в стеклянной бутылке, объёмом 0,5 л."
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,Бавария,Тархун,"Бавария Тархун — сильногазированный безалкогольный напиток со вкусом «Тархун» в стеклянной бутылке, объёмом 0,5 л."
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,Бавария,Фейхоа,Бавария Фейхоа — сильногазированный безалкогольный напиток со вкусом «Фейхоа» в стеклянной бутылке.
BAVARIA-BAVARIYA-KOLA-PREMIUM-LE-500-GLASS,Бавария,Кола Premium LIMITED EDITION,"Бавария Кола Premium LIMITED EDITION — сильногазированный безалкогольный напиток со вкусом колы в стеклянной бутылке, объёмом 0,5 л."
BAVARIA-GORNAYA-VODA-GORNAA-VODA-GAZIROVANNAYA-450-GLASS,Горная вода,Горная вода,Газированная питьевая вода Горная вода в стеклянной бутылке.
BAVARIA-GORNAYA-VODA-GORNAA-VODA-NEGAZIROVANNAYA-450-GLASS,Горная вода,Горная вода не,Негазированная питьевая вода Горная вода в стеклянной бутылке.
AQUALANIA-PREMIUM-BARBARIS-500-GLASS,AquAlania,Барбарис,AquAlania Барбарис — сильногазированный безалкогольный напиток со вкусом «Барбарис» в стеклянной бутылке.
AQUALANIA-PREMIUM-GRUSHA-500-GLASS,AquAlania,Груша,AquAlania Груша — сильногазированный безалкогольный напиток со вкусом «Груша» в стеклянной бутылке.
AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS,AquAlania,Дыня-Мята,AquAlania Дыня-Мята — сильногазированный безалкогольный напиток со вкусом «Дыня-Мята» в стеклянной бутылке.
AQUALANIA-PREMIUM-KOLA-500-GLASS,AquAlania,Кола,AquAlania Кола — сильногазированный безалкогольный напиток со вкусом колы в стеклянной бутылке.
AQUALANIA-PREMIUM-LIMONAD-500-GLASS,AquAlania,Лимонад,AquAlania Лимонад — сильногазированный безалкогольный напиток со вкусом «Лимонад» в стеклянной бутылке.
AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS,AquAlania,Манго-Виноград,AquAlania Манго-Виноград — сильногазированный безалкогольный напиток со вкусом «Манго-Виноград» в стеклянной бутылке.
AQUALANIA-PREMIUM-SAPERAVI-500-GLASS,AquAlania,Саперави,AquAlania Саперави — сильногазированный безалкогольный напиток со вкусом «Саперави» в стеклянной бутылке.
AQUALANIA-PREMIUM-SLIVA-500-GLASS,AquAlania,Слива,AquAlania Слива — сильногазированный безалкогольный напиток со вкусом «Слива» в стеклянной бутылке.
AQUALANIA-PREMIUM-TARHUN-500-GLASS,AquAlania,Тархун,AquAlania Тархун — сильногазированный безалкогольный напиток со вкусом «Тархун» в стеклянной бутылке.
AQUALANIA-PREMIUM-FEYHOA-500-GLASS,AquAlania,Фейхоа,AquAlania Фейхоа — сильногазированный безалкогольный напиток со вкусом «Фейхоа» в стеклянной бутылке.
AQUALANIA-PREMIUM-IGRISTOE-500-GLASS,AquAlania,Игристое,AquAlania Игристое — сильногазированный безалкогольный напиток со вкусом «Игристое» в стеклянной бутылке.
DARYAL-AKVA-DARYAL-GAZ-500-GLASS,Аква Дарьял,,Газированная минеральная вода Аква Дарьял в стеклянной бутылке. Рекомендуется употреблять охлаждённой.
DARYAL-AKVA-DARYAL-STILL-500-GLASS,Аква Дарьял,не,Негазированная минеральная вода Аква Дарьял в стеклянной бутылке. Рекомендуется употреблять охлаждённой.
DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS,Дарьял,Апельсин-кориандр,Дарьял Апельсин-кориандр — сильногазированный безалкогольный напиток со вкусом «Апельсин-кориандр» в стеклянной бутылке.
DARYAL-DARYAL-GRANAT-500-GLASS,Дарьял,Гранат,Дарьял Гранат — сильногазированный безалкогольный напиток со вкусом «Гранат» в стеклянной бутылке.
DARYAL-DARYAL-GRUSHA-500-GLASS,Дарьял,Груша,Дарьял Груша — сильногазированный безалкогольный напиток со вкусом «Груша» в стеклянной бутылке.
DARYAL-DARYAL-KOLA-APELSIN-500-GLASS,Дарьял,Кола-апельсин,Дарьял Кола-апельсин — сильногазированный безалкогольный напиток со вкусом колы в стеклянной бутылке.
DARYAL-DARYAL-MOHITO-500-GLASS,Дарьял,Мохито,Дарьял Мохито — сильногазированный безалкогольный напиток со вкусом «Мохито» в стеклянной бутылке.
DARYAL-DARYAL-TARHUN-500-GLASS,Дарьял,Тархун,Дарьял Тархун — сильногазированный безалкогольный напиток со вкусом «Тархун» в стеклянной бутылке.
DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS,Дарьял,Фейхоа-Шелковица,Дарьял Фейхоа-Шелковица — сильногазированный безалкогольный напиток со вкусом «Фейхоа-Шелковица» в стеклянной бутылке.
ZY-MIN-500-GLASS-001,мин,,Минеральная вода Рычал-Су в стеклянной бутылке.
