proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match,pdf_page,source_site,source_pdf
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,"Напиток газированный Бавария Premium Тархун, 0,5 л, стекло","Напиток газированный Бавария Premium Тархун, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,"Напиток газированный Бавария Premium Фейхоа, 0,5 л, стекло","Напиток газированный Бавария Premium Фейхоа, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Фейхоа,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,"Напиток газированный Бавария Premium Вишня, 0,5 л, стекло","Напиток газированный Бавария Premium Вишня, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Вишня,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,"Напиток газированный Бавария Premium Виноград, 0,5 л, стекло","Напиток газированный Бавария Premium Виноград, 0,5 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: все 7 вкусов показаны в стекле 0,5","0,5 л",стекло,Виноград,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,high,,"PDF p.14: все 7 вкусов показаны в стекле 0,5",pdf-image p.14 glass row,shared-line-image,14,"site Premium assortment стекло 0,5","p.14 glass row + GL 0,5 icon"
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,"Напиток газированный Бавария Premium Груша, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Груша, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,"Напиток газированный Бавария Premium Тархун, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Тархун, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,"Напиток газированный Бавария Premium Гранат, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Гранат, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Гранат,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,"Напиток газированный Бавария Premium Фейхоа, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Фейхоа, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Фейхоа,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,"Напиток газированный Бавария Premium Вишня, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Вишня, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Вишня,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-1200-PET,"Напиток газированный Бавария Premium Виноград, 1,2 л, ПЭТ","Напиток газированный Бавария Premium Виноград, 1,2 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,"PDF p.14: вкус показан в ПЭТ 1,2","1,2 л",ПЭТ,Виноград,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,new,high,,"PDF p.14: вкус показан в ПЭТ 1,2",pdf-image p.14 PET row,shared-line-image,14,"site Premium assortment ПЭТ 1,2","p.14 PET row + PET 1,2 icon"
BAVARIA-BAVARIYA-MOHITO-450-GLASS,"Напиток газированный Бавария Мохито, 0,45 л, стекло","Напиток газированный Бавария Мохито, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,45 л",стекло,Мохито,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-PITAHAYYA-450-GLASS,"Напиток газированный Бавария Питахайя, 0,45 л, стекло","Напиток газированный Бавария Питахайя, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,45 л",стекло,Питахайя,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-TARHUN-450-GLASS,"Напиток газированный Бавария Тархун, 0,45 л, стекло","Напиток газированный Бавария Тархун, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,45 л",стекло,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-GRUSHA-450-GLASS,"Напиток газированный Бавария Груша, 0,45 л, стекло","Напиток газированный Бавария Груша, 0,45 л, стекло",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,45 л",стекло,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-TARHUN-500-PET,"Напиток газированный Бавария Тархун, 0,5 л, ПЭТ","Напиток газированный Бавария Тархун, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,5 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-GRUSHA-500-PET,"Напиток газированный Бавария Груша, 0,5 л, ПЭТ","Напиток газированный Бавария Груша, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,5 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-KOLA-500-PET,"Напиток газированный Бавария Кола, 0,5 л, ПЭТ","Напиток газированный Бавария Кола, 0,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"0,5 л",ПЭТ,Кола,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-APELSIN-1500-PET,"Напиток газированный Бавария Апельсин, 1,5 л, ПЭТ","Напиток газированный Бавария Апельсин, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Апельсин,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-TARHUN-1500-PET,"Напиток газированный Бавария Тархун, 1,5 л, ПЭТ","Напиток газированный Бавария Тархун, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Тархун,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-GRUSHA-1500-PET,"Напиток газированный Бавария Груша, 1,5 л, ПЭТ","Напиток газированный Бавария Груша, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Груша,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,"Напиток газированный Бавария Питахайя, 1,5 л, ПЭТ","Напиток газированный Бавария Питахайя, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Питахайя,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-KOLA-1500-PET,"Напиток газированный Бавария Кола, 1,5 л, ПЭТ","Напиток газированный Бавария Кола, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Кола,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-MOHITO-1500-PET,"Напиток газированный Бавария Мохито, 1,5 л, ПЭТ","Напиток газированный Бавария Мохито, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Мохито,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-BAVARIYA-YABLOKO-1500-PET,"Напиток газированный Бавария Яблоко, 1,5 л, ПЭТ","Напиток газированный Бавария Яблоко, 1,5 л, ПЭТ",Бавария,ГК ПД «Бавария»,Газированные напитки,PDF p.15 визуально подтверждённая комбинация вкус×тара,"1,5 л",ПЭТ,Яблоко,газированная,,,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,new,high,,PDF p.15 визуально подтверждённая комбинация вкус×тара,pdf-image p.15 + site assortment where overlapping,shared-line-image,15,site regular soda assortment text,p.15 product photos + GL/PET icons
BAVARIA-LIMNADA-ANANAS-1500-PET,"Напиток газированный Лимнада Ананас, 1,5 л, ПЭТ","Напиток газированный Лимнада Ананас, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён","1,5 л",ПЭТ,Ананас,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,new,high,,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён",site card + PDF brand continuity,shared-line-image,,site Limnada 1.5 assortment,
BAVARIA-LIMNADA-KREM-SODA-1500-PET,"Напиток газированный Лимнада Крем-Сода, 1,5 л, ПЭТ","Напиток газированный Лимнада Крем-Сода, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён","1,5 л",ПЭТ,Крем-Сода,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,new,high,,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён",site card + PDF brand continuity,shared-line-image,,site Limnada 1.5 assortment,
BAVARIA-LIMNADA-DYUSHES-1500-PET,"Напиток газированный Лимнада Дюшес, 1,5 л, ПЭТ","Напиток газированный Лимнада Дюшес, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён","1,5 л",ПЭТ,Дюшес,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,new,high,,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён",site card + PDF brand continuity,shared-line-image,,site Limnada 1.5 assortment,
BAVARIA-LIMNADA-BARBARIS-1500-PET,"Напиток газированный Лимнада Барбарис, 1,5 л, ПЭТ","Напиток газированный Лимнада Барбарис, 1,5 л, ПЭТ",Лимнада,ГК ПД «Бавария»,Газированные напитки,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён","1,5 л",ПЭТ,Барбарис,газированная,,,https://www.bavaria-group.ru/beer-product/silnogazirovannyj-napitok-limnada,,,new,high,,"Сайт: ассортимент ПЭТ 1,5; бренд «Лимнада» сохранён",site card + PDF brand continuity,shared-line-image,,site Limnada 1.5 assortment,
