sku,line,flavor,status,source_url,source_filename,source_bytes,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256,http_status,note
AQUALANIA-LIGHT-VISHNYA-330-PETCAN,LIGHT,Вишня,exact_low_res,https://img1.creatium.ru/34/98/b4/264e758252cbd06694d4599add0a450446/vishnya.jpg,vishnya.jpg,39196,224,200,image/jpeg,01f081a910724901e7f2ee63811dd54a9b3cc5c490d0819d1ac4455e2f0acb97,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-VISHNYA-330-PETCAN.webp,56b2e5017f22524b039db0fa7073c6facc52d1bdafa68ce9ebcd416e3ed65b62,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-LIGHT-YABLOKO-330-PETCAN,LIGHT,Яблоко,exact_low_res,https://img1.creatium.ru/b3/fd/6c/21d838260cc52c05912efbe65057775e61/yabloko.jpg,yabloko.jpg,36167,224,200,image/jpeg,1f54a521f91d7631c811ed9903801fc2bbe41517f379fe2311e536db058ed01b,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-YABLOKO-330-PETCAN.webp,5f3f53480e30c2d253ad145cdaae8016d2c97932077e0e72d596ae6c222d3595,200,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются."
AQUALANIA-PREMIUM-BARBARIS-500-GLASS,PREMIUM,Барбарис,exact,https://img1.creatium.ru/disk2/77/1d/b4/bbf9433d5726c208db34ee262e026f8ea0/barb.png,barb.png,2940690,1921,3048,image/png,22d66d0a84e649f93d7eeea4dea7baaa284265e8ba45ff9fba18ab94c2aa0262,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-BARBARIS-500-GLASS.webp,55f5d118ea0aac84b1abbefeb63528bb7096cc9ff8909720225377cf31f3f015,200,
AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS,PREMIUM,Дыня-Мята,exact,https://img3.creatium.ru/disk2/94/78/f0/c32bc3e582075cff386d6eee30d32c8f07/dinya_myata_photoroom.png,dinya_myata_photoroom.png,839431,1027,1691,image/png,eb4dce2ff1652c200eabf83969f5d70f88bbb123e644b10c631f79497ea55485,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS.webp,09fe3069d45091301c6b3a93369aaa22208ba9a99849c1e236a7cad985c4053b,200,
AQUALANIA-PREMIUM-FEYHOA-500-GLASS,PREMIUM,Фейхоа,exact,https://img1.creatium.ru/disk2/6c/58/b4/727eadecc0341ab2b0117fc06b2395f6ea/tarhun.png,tarhun.png,2742543,1810,2810,image/png,80bd78cf55e13c9c64507690af076a96acd2dbaac77973441ba81b9791e4e9a5,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-FEYHOA-500-GLASS.webp,9e75c3009c18c63108fd748b2ab49b7bb45e5ff0dbb95cfed9cc8acd9a67f8c4,200,"Файл официального asset назван tarhun.png, но на этикетке явно «Фейхоа» и иллюстрация фейхоа; taruhn.png — отдельный SKU Тархун. Изображение оставлено как exact (не mismatch)."
AQUALANIA-PREMIUM-GRUSHA-500-GLASS,PREMIUM,Груша,exact,https://img1.creatium.ru/disk2/a0/e4/52/2da5ebe0acc0de871b92ba3a76554ce0cd/grusha.png,grusha.png,2664816,1808,2894,image/png,b12865417d2c5fb2c27ba4579813d6913b3087f4e1ddea793a666b36322ee58b,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-GRUSHA-500-GLASS.webp,87130491429098711ae5c67aa61a15ba1c136332fe8c3dedaf5606ecca32b672,200,
AQUALANIA-PREMIUM-IGRISTOE-500-GLASS,PREMIUM,Игристое,exact,https://img3.creatium.ru/disk2/37/73/3e/78374b5e80474321f11c27bee48b31c522/igristoe_photoroom.png,igristoe_photoroom.png,823767,1005,1625,image/png,1ef12ed857d12be8f6a24c1fbf3daf5b8ff48465c08ca62478ee58386ec3d883,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-IGRISTOE-500-GLASS.webp,203f537dcc437150ce9d4bf3bb80ccce1c5b3547104e0eeb5bbd81a89ec7959d,200,"Официально безалкогольный: RU «Напиток безалкогольный сильногазированный „Игристое“»; EN «Non alcoholic carbonated drink with Sparkling wine/Champagne flavor»; на этикетке стекла — «НАПИТОК БЕЗАЛКОГОЛЬНЫЙ СИЛЬНОГАЗИРОВАННЫЙ». Слова Sparkling wine/Champagne = вкус, не алкогольный статус. В proposed_name без слова «вино»."
AQUALANIA-PREMIUM-KOLA-500-GLASS,PREMIUM,Кола,exact,https://img1.creatium.ru/disk2/78/ca/d6/11afe945923f229a4246564846d99fc8c8/kolka.png,kolka.png,1710192,1400,2111,image/png,1d1b492bc5c27be7d0d4dec85492d2b1826a224311d46d56552611419ed29fd6,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-KOLA-500-GLASS.webp,5ea3fde296aad4b5bf4e49d5d21d39f558289ab6d829b6cbddae3ce79af2cd9f,200,
AQUALANIA-PREMIUM-LIMONAD-500-GLASS,PREMIUM,Лимонад,exact,https://img1.creatium.ru/disk2/5f/28/0c/b7702f3f281cb3b03f00a206972a340ee3/limonad.png,limonad.png,2343423,1810,3072,image/png,bd3754284a4ada748e16df93594bfe41fb414a21fe4186a69a41f2767b5997aa,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-LIMONAD-500-GLASS.webp,9aa708173e6c8c5d5d46fc574c5d6b08420c0a247e496e1d465ed6c33a3d107a,200,
AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS,PREMIUM,Манго-Виноград,exact,https://img1.creatium.ru/disk2/7b/cd/44/14b2e2445c79871ad7b06f01cc570d0e86/mango_vinograd.png,mango_vinograd.png,2587123,1922,2924,image/png,7fcd44381670d989d123e69fc5ae77ae147e95ed8a0ac2e22f7f6842054f3b16,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS.webp,f1c299837c0f15fcfdaae3af60208376cecfb031fbe861a2d9de34c5cd296e49,200,
AQUALANIA-PREMIUM-SAPERAVI-500-GLASS,PREMIUM,Саперави,exact,https://img1.creatium.ru/disk2/45/21/03/0d903e50106cdbc3516f5a800c1844e920/saperavi_2.png,saperavi_2.png,2704188,1852,2973,image/png,5dd6a9c8f16c65da59ffc3310a50a337e361cdfdeb662f20eafefa309177b9ea,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-SAPERAVI-500-GLASS.webp,ecbe8e4d25b94fdd67a3b6d5aacf23f352f175b1a6207937799e946a1ef6ae98,200,
AQUALANIA-PREMIUM-SLIVA-500-GLASS,PREMIUM,Слива,exact,https://img1.creatium.ru/disk2/47/8a/15/b1f4726c9a3372e57846105fab84cccd89/sliva_2.png,sliva_2.png,2934046,1815,2979,image/png,3f2cc391eac23000dbb20cb0b0a06a914bc1c82539966f54e9b4c3e108a45b77,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-SLIVA-500-GLASS.webp,f80ddad63e320c94c33ae13312bc6d3e1fc6e7ec06faa81c73cf84ab8278129e,200,
AQUALANIA-PREMIUM-TARHUN-500-GLASS,PREMIUM,Тархун,exact,https://img1.creatium.ru/disk2/39/1b/24/b02b1f256ede98d698e3b236e00df91149/taruhn.png,taruhn.png,2898328,1828,3016,image/png,4eabade7964a870dc9f779b6d97b1389bc89fab37f70165be912cedd88c79cb4,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-TARHUN-500-GLASS.webp,69a7192a1aea4910da2e79ee02461a3786156412f3714cae9fd9f64b7184a983,200,
AQUALANIA-WATER-SPARKLING-500-PET,WATER,Газированная,exact,https://img3.creatium.ru/disk2/dd/70/4c/47eadc634a015ad7e866389bec88e56f59/voda_pet_0_5_gaz_15.png,voda_pet_0_5_gaz_15.png,2864741,3833,5729,image/png,1f2d77ea7ba560c92eb8a0e056164687c62998074c568176c68eb9234c9ba621,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-WATER-SPARKLING-500-PET.webp,1f196513267dcf420f668db169471cc751243ec7507673676df16b5f8c932261,200,
AQUALANIA-WATER-STILL-500-PET,WATER,Негазированная,exact,https://img3.creatium.ru/disk2/1a/b8/7a/2b6d66b4ec363294fe8df3588971e93795/voda_pet_0_5_ne_gaz_15.png,voda_pet_0_5_ne_gaz_15.png,2800466,3841,5361,image/png,cc3dec3ca6e086e557364476a7712d4f5df77b1d354e46cee954ffffa30e6f0b,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-WATER-STILL-500-PET.webp,d627463cd6b83441383e5c51b97a1882881d556d383b16e64247a93795276eb0,200,
