proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,volume_ml,volume_text,package_type,package_code,carbonation,sugar_free,shelf_life_days,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,image_sha256,duplicate_status,confidence,review_status,review_reason,notes,alcohol_status,sales_status,price_amount,orderable,availability,units_per_package,is_active
AQUALANIA-LIGHT-VISHNYA-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом вишни «АквАлания лайт (AquAlania light)»,"AquAlania Light Вишня без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Вишня,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/34/98/b4/264e758252cbd06694d4599add0a450446/vishnya.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-VISHNYA-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,01f081a910724901e7f2ee63811dd54a9b3cc5c490d0819d1ac4455e2f0acb97,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-LIGHT-YABLOKO-330-PETCAN,Напиток безалкогольный среднегазированный со вкусом яблока «АквАлания лайт (AquAlania light)»,"AquAlania Light Яблоко без сахара, 0,33 л, ПЭТ-банка с алюминиевой крышкой",AquAlania,ООО «Константа-7»,LIGHT,Яблоко,330,"0,33 л",ПЭТ-банка с алюминиевой крышкой,PETCAN,среднегазированная,true,360,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://aqualania.ru/product,https://img1.creatium.ru/b3/fd/6c/21d838260cc52c05912efbe65057775e61/yabloko.jpg,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-LIGHT-YABLOKO-330-PETCAN.webp,exact_low_res,224,200,image/jpeg,1f54a521f91d7631c811ed9903801fc2bbe41517f379fe2311e536db058ed01b,new_product,medium,approved,,"Официальный product-page asset — единственный вариант вкуса; srcset/background/оригиналы большего размера на сайте не найдены (home jb_* ~282×300 — другой layout/подпись, не заменяют product SKU image). Без апскейла; exact_low_res; вкус и упаковка читаются.",,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-BARBARIS-500-GLASS,"Напиток безалкогольный сильногазированный ""Барбарис"" АквАлания","AquAlania Барбарис, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Барбарис,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/77/1d/b4/bbf9433d5726c208db34ee262e026f8ea0/barb.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-BARBARIS-500-GLASS.webp,exact,1921,3048,image/png,22d66d0a84e649f93d7eeea4dea7baaa284265e8ba45ff9fba18ab94c2aa0262,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS,"Напиток безалкогольный сильногазированный ""Дыня-Мята"" АквАлания","AquAlania Дыня-Мята, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Дыня-Мята,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img3.creatium.ru/disk2/94/78/f0/c32bc3e582075cff386d6eee30d32c8f07/dinya_myata_photoroom.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-DYNYA-MYATA-500-GLASS.webp,exact,1027,1691,image/png,eb4dce2ff1652c200eabf83969f5d70f88bbb123e644b10c631f79497ea55485,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-FEYHOA-500-GLASS,"Напиток безалкогольный сильногазированный ""Фейхоа"" АквАлания","AquAlania Фейхоа, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Фейхоа,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/6c/58/b4/727eadecc0341ab2b0117fc06b2395f6ea/tarhun.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-FEYHOA-500-GLASS.webp,exact,1810,2810,image/png,80bd78cf55e13c9c64507690af076a96acd2dbaac77973441ba81b9791e4e9a5,new_product,high,approved,,"Файл официального asset назван tarhun.png, но на этикетке явно «Фейхоа» и иллюстрация фейхоа; taruhn.png — отдельный SKU Тархун. Изображение оставлено как exact (не mismatch).",,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-GRUSHA-500-GLASS,"Напиток безалкогольный сильногазированный ""Груша"" АквАлания","AquAlania Груша, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Груша,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/a0/e4/52/2da5ebe0acc0de871b92ba3a76554ce0cd/grusha.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-GRUSHA-500-GLASS.webp,exact,1808,2894,image/png,b12865417d2c5fb2c27ba4579813d6913b3087f4e1ddea793a666b36322ee58b,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-IGRISTOE-500-GLASS,"Напиток безалкогольный сильногазированный ""Игристое"" АквАлания","Напиток газированный AquAlania Игристое, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Игристое,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img3.creatium.ru/disk2/37/73/3e/78374b5e80474321f11c27bee48b31c522/igristoe_photoroom.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-IGRISTOE-500-GLASS.webp,exact,1005,1625,image/png,1ef12ed857d12be8f6a24c1fbf3daf5b8ff48465c08ca62478ee58386ec3d883,new_product,high,approved,,"Официально безалкогольный: RU «Напиток безалкогольный сильногазированный „Игристое“»; EN «Non alcoholic carbonated drink with Sparkling wine/Champagne flavor»; на этикетке стекла — «НАПИТОК БЕЗАЛКОГОЛЬНЫЙ СИЛЬНОГАЗИРОВАННЫЙ». Слова Sparkling wine/Champagne = вкус, не алкогольный статус. В proposed_name без слова «вино».",non_alcoholic_confirmed,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-KOLA-500-GLASS,"Напиток безалкогольный сильногазированный ""Кола"" АквАлания","AquAlania Кола, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Кола,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Кола,kola,34bee47b-61c3-4e15-81db-75d58ecf018b,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/78/ca/d6/11afe945923f229a4246564846d99fc8c8/kolka.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-KOLA-500-GLASS.webp,exact,1400,2111,image/png,1d1b492bc5c27be7d0d4dec85492d2b1826a224311d46d56552611419ed29fd6,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-LIMONAD-500-GLASS,"Напиток безалкогольный сильногазированный ""Лимонад"" АквАлания","AquAlania Лимонад, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Лимонад,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/5f/28/0c/b7702f3f281cb3b03f00a206972a340ee3/limonad.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-LIMONAD-500-GLASS.webp,exact,1810,3072,image/png,bd3754284a4ada748e16df93594bfe41fb414a21fe4186a69a41f2767b5997aa,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS,"Напиток безалкогольный сильногазированный ""Манго-Виноград"" АквАлания","AquAlania Манго-Виноград, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Манго-Виноград,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/7b/cd/44/14b2e2445c79871ad7b06f01cc570d0e86/mango_vinograd.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-MANGO-VINOGRAD-500-GLASS.webp,exact,1922,2924,image/png,7fcd44381670d989d123e69fc5ae77ae147e95ed8a0ac2e22f7f6842054f3b16,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-SAPERAVI-500-GLASS,"Напиток безалкогольный сильногазированный ""Саперави"" АквАлания","AquAlania Саперави, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Саперави,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/45/21/03/0d903e50106cdbc3516f5a800c1844e920/saperavi_2.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-SAPERAVI-500-GLASS.webp,exact,1852,2973,image/png,5dd6a9c8f16c65da59ffc3310a50a337e361cdfdeb662f20eafefa309177b9ea,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-SLIVA-500-GLASS,"Напиток безалкогольный сильногазированный ""Слива"" АквАлания","AquAlania Слива, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Слива,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/47/8a/15/b1f4726c9a3372e57846105fab84cccd89/sliva_2.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-SLIVA-500-GLASS.webp,exact,1815,2979,image/png,3f2cc391eac23000dbb20cb0b0a06a914bc1c82539966f54e9b4c3e108a45b77,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-PREMIUM-TARHUN-500-GLASS,"Напиток безалкогольный сильногазированный ""Тархун"" АквАлания","AquAlania Тархун, 0,5 л, стекло",AquAlania,ООО «Константа-7»,PREMIUM,Тархун,500,"0,5 л",стекло,GLASS,сильногазированная,false,360,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://aqualania.ru/product,https://img1.creatium.ru/disk2/39/1b/24/b02b1f256ede98d698e3b236e00df91149/taruhn.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-PREMIUM-TARHUN-500-GLASS.webp,exact,1828,3016,image/png,4eabade7964a870dc9f779b6d97b1389bc89fab37f70165be912cedd88c79cb4,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-WATER-SPARKLING-500-PET,Вода минеральная природная столовая питьевая «АквАлания» Газированная,"AquAlania вода минеральная газированная, 0,5 л, ПЭТ",AquAlania,ООО «Константа-7»,WATER,Газированная,500,"0,5 л",ПЭТ,PET,газированная,false,720,Газированная вода,voda-gazirovannaya,81730d5f-f669-4ea0-b6af-e0f7d645a8fa,mapped,https://aqualania.ru/product,https://img3.creatium.ru/disk2/dd/70/4c/47eadc634a015ad7e866389bec88e56f59/voda_pet_0_5_gaz_15.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-WATER-SPARKLING-500-PET.webp,exact,3833,5729,image/png,1f2d77ea7ba560c92eb8a0e056164687c62998074c568176c68eb9234c9ba621,new_product,high,approved,,,,showcase,,false,on_order,1,true
AQUALANIA-WATER-STILL-500-PET,Вода минеральная природная столовая питьевая «АквАлания» Негазированная,"AquAlania вода минеральная негазированная, 0,5 л, ПЭТ",AquAlania,ООО «Константа-7»,WATER,Негазированная,500,"0,5 л",ПЭТ,PET,негазированная,false,720,Негазированная вода,voda-negazirovannaya,977a592b-8d39-4bac-afe4-a7d17687657d,mapped,https://aqualania.ru/product,https://img3.creatium.ru/disk2/1a/b8/7a/2b6d66b4ec363294fe8df3588971e93795/voda_pet_0_5_ne_gaz_15.png,artifacts/aqualania-import/2026-08-05T13-05-07-740Z-final/processed/AQUALANIA-WATER-STILL-500-PET.webp,exact,3841,5361,image/png,cc3dec3ca6e086e557364476a7712d4f5df77b1d354e46cee954ffffa30e6f0b,new_product,high,approved,,,,showcase,,false,on_order,1,true
