sku,name,category,category_slug,brand,taste,volume,package,current_image_status,prod_image_url,missing_reason,manifest_image_url,manifest_local_image_path,image_match,pdf_page,source_url,possible_official_source,imaged_sibling_skus,candidate_image_urls,candidate_source_priority,match_confidence,review_status,notes,downloaded_source_paths,local_processed_path,processed_source
BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS,"Напиток газированный Бавария Premium Виноград, 0,5 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Виноград,"0,5 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,14,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,,official_pdf,high,confirmed_ready,Виноград absent from site Premium photos; PDF p.14. | Final crop from pdf_page_14 (pdf_box) | Final crop from pdf_page_14 (pdf_box) | Final crop from pdf_page_14 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-PREMIUM-VINOGRAD-500-GLASS.webp,pdf_page_14
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,"Напиток газированный Бавария Premium Вишня, 1,2 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Бавария,Вишня,"1,2 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,14,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,official_site,high,confirmed_ready,Crop Вишня from Premium PET 1.2 group. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/126_1772458839.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET.webp,official_site
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,"Напиток газированный Бавария Premium Вишня, 0,5 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Вишня,"0,5 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,14,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki-premium,,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,official_site,high,confirmed_ready,Crop Вишня from Premium glass group. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/22_1730373939.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS.webp,official_site
BAVARIA-BAVARIYA-TARHUN-450-GLASS,"Напиток газированный Бавария Тархун, 0,45 л, стекло",Газированные напитки,gazirovannye-napitki,Бавария,Тархун,"0,45 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,BAVARIA-BAVARIYA-TARHUN-1500-PET|BAVARIA-BAVARIYA-TARHUN-500-PET,,official_pdf,medium,confirmed_ready,PDF p.15 glass Тархун. | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-TARHUN-450-GLASS.webp,pdf_page_15
BAVARIA-BAVARIYA-YABLOKO-1500-PET,"Напиток газированный Бавария Яблоко, 1,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Бавария,Яблоко,"1,5 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,15,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,https://www.bavaria-group.ru/beer-product/sladkie-gazirovannye-napitki,,,official_pdf,medium,confirmed_ready,Not in site 1.5 group; PDF p.15 Яблоко PET. | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box) | Final crop from pdf_page_15 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-BAVARIYA-YABLOKO-1500-PET.webp,pdf_page_15
BAVARIA-COLALE-COLA-LE-1500-PET,"Напиток газированный Cola Limited Edition газированная, 1,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Cola Limited Edition,Cola Limited Edition,"1,5 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,,https://www.bavaria-group.ru/beer-product/cola-limited-edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,,https://www.bavaria-group.ru/files/beer_items/91_1726224649.png,official_site,high,confirmed_ready,Crop 1.5 LIMITED EDITION from official PET pair. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/91_1726224649.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-COLALE-COLA-LE-1500-PET.webp,official_site
BAVARIA-COLALE-COLA-LE-330-CAN,"Напиток газированный Cola Limited Edition газированная, 0,33 л, банка",Газированные напитки,gazirovannye-napitki,Cola Limited Edition,Cola Limited Edition,"0,33 л",банка,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,,https://www.bavaria-group.ru/beer-product/cola-limited-edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,,,official_pdf,high,confirmed_ready,No LE can on site; avoid Premium LE can mix-up. | Final crop from pdf_page_18 (pdf_box) | Final crop from pdf_page_18 (pdf_box) | Final crop from pdf_page_18 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-COLALE-COLA-LE-330-CAN.webp,pdf_page_18
BAVARIA-COLALE-COLA-LE-450-GLASS,"Напиток газированный Cola Limited Edition газированная, 0,45 л, стекло",Газированные напитки,gazirovannye-napitki,Cola Limited Edition,Cola Limited Edition,"0,45 л",стекло,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,,https://www.bavaria-group.ru/beer-product/cola-limited-edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,,https://www.bavaria-group.ru/files/beer_items/92_1726224683.png,official_site,low,excluded,Glass face reads CLASSIC on site 92 and PDF p.18 crop — LE correspondence not proven; excluded,artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/92_1726224683.png,,pdf_page_18
BAVARIA-COLALE-COLA-LE-500-PET,"Напиток газированный Cola Limited Edition газированная, 0,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Cola Limited Edition,Cola Limited Edition,"0,5 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,,https://www.bavaria-group.ru/beer-product/cola-limited-edition,https://www.bavaria-group.ru/beer-product/cola-limited-edition,,https://www.bavaria-group.ru/files/beer_items/91_1726224649.png,official_site,high,confirmed_ready,Crop 0.5 LIMITED EDITION from official PET pair. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/91_1726224649.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-COLALE-COLA-LE-500-PET.webp,official_site
BAVARIA-DOBRETSOV-BOCHKOVOY-1420-PET,"Квас Добрецовъ Бочковой, 1,42 л, ПЭТ",Квас,kvas,Добрецовъ,Бочковой,"1,42 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,13,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,,https://www.bavaria-group.ru/files/beer_items/139_1783501193.png,official_site,high,confirmed_ready,Distinct 1.42 PET on PDF p.13 (not 2L site art). Included in image-only apply list.,artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/139_1783501193.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DOBRETSOV-BOCHKOVOY-1420-PET.webp,pdf_page_13
BAVARIA-DOBRETSOV-BOCHKOVOY-2000-PET,"Квас Добрецовъ Бочковой, 2 л, ПЭТ",Квас,kvas,Добрецовъ,Бочковой,2 л,ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,13,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,,https://www.bavaria-group.ru/files/beer_items/139_1783501193.png,official_site,high,confirmed_ready,Official Бочковой PET 2L unique artwork. | Final crop from official_site (site_single) | Final crop from official_site (site_single) | Final crop from official_site (site_single),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/139_1783501193.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DOBRETSOV-BOCHKOVOY-2000-PET.webp,official_site
BAVARIA-DOBRETSOV-HLEBNYY-1420-PET,"Квас Добрецовъ Хлебный, 1,42 л, ПЭТ",Квас,kvas,Добрецовъ,Хлебный,"1,42 л",ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,13,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,official_site,medium,confirmed_ready,Crop mid PET (~1.4L) from official group; confirm volume label. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/76_1783510510.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DOBRETSOV-HLEBNYY-1420-PET.webp,official_site
BAVARIA-DOBRETSOV-HLEBNYY-2000-PET,"Квас Добрецовъ Хлебный, 2 л, ПЭТ",Квас,kvas,Добрецовъ,Хлебный,2 л,ПЭТ,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,13,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,official_site,high,confirmed_ready,Crop 2L Хлебный from official group. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/76_1783510510.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DOBRETSOV-HLEBNYY-2000-PET.webp,official_site
BAVARIA-DOBRETSOV-HLEBNYY-450-CAN,"Квас Добрецовъ Хлебный, 0,45 л, банка",Квас,kvas,Добрецовъ,Хлебный,"0,45 л",банка,missing,,shared_line_image_no_unique_packshot,,,shared-line-image,13,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,https://www.bavaria-group.ru/beer-product/kvas-dobretsov,,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,official_site,high,confirmed_ready,Crop can from official Хлебный group. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/76_1783510510.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DOBRETSOV-HLEBNYY-450-CAN.webp,official_site
BAVARIA-DREAMIX-BITTER-LEMON-330-CAN,"Тоник Dreamix Bitter Lemon, 0,33 л, банка",Тоники,toniki,Dreamix,Bitter Lemon,"0,33 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,21,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/beer-product/dreamix,BAVARIA-DREAMIX-BITTER-LEMON-1000-PET|BAVARIA-DREAMIX-BITTER-LEMON-330-GLASS,,official_pdf,high,confirmed_ready,PDF p.21 Bitter Lemon can; site 128 is glass+PET only. | Final crop from pdf_page_21 (pdf_box) | Final crop from pdf_page_21 (pdf_box) | Final crop from pdf_page_21 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-BITTER-LEMON-330-CAN.webp,pdf_page_21
BAVARIA-DREAMIX-INDIAN-TONIK-1000-PET,"Тоник Dreamix Indian Tonic, 1 л, ПЭТ",Тоники,toniki,Dreamix,Indian Tonic,1 л,ПЭТ,missing,,exact_match_claimed_but_image_url_empty,,,exact,21,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/beer-product/dreamix,,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,official_site,high,confirmed_ready,Crop PET 1L from Indian Tonic pair. | Final crop from official_site (site_equal) | Final crop from official_site (site_equal) | Final crop from official_site (site_equal),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/127_1775207748.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-INDIAN-TONIK-1000-PET.webp,official_site
BAVARIA-DREAMIX-INDIAN-TONIK-330-CAN,"Тоник Dreamix Indian Tonic, 0,33 л, банка",Тоники,toniki,Dreamix,Indian Tonic,"0,33 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,21,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/beer-product/dreamix,,,official_pdf,high,confirmed_ready,PDF p.21 Indian Tonic can. | Final crop from pdf_page_21 (pdf_box) | Final crop from pdf_page_21 (pdf_box) | Final crop from pdf_page_21 (pdf_box),,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-INDIAN-TONIK-330-CAN.webp,pdf_page_21
BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS,"Тоник Dreamix Indian Tonic, 0,33 л, стекло",Тоники,toniki,Dreamix,Indian Tonic,"0,33 л",стекло,missing,,exact_match_claimed_but_image_url_empty,,,exact,21,https://www.bavaria-group.ru/beer-product/dreamix,https://www.bavaria-group.ru/beer-product/dreamix,,https://www.bavaria-group.ru/files/beer_items/127_1775207748.png,official_site,high,confirmed_ready,Crop glass 0.33 from Indian Tonic pair. | Final crop from official_site (site_equal) | Final crop from official_site (site_equal) | Final crop from official_site (site_equal),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/127_1775207748.png,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-INDIAN-TONIK-330-GLASS.webp,official_site
BAVARIA-DREAMIX-KLYUKVA-APELSIN-1500-PET,"Напиток газированный Dreamix Клюква-Апельсин, 1,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Dreamix,Клюква-Апельсин,"1,5 л",ПЭТ,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/98_1743082462.jpg,official_site,high,confirmed_ready,Flavor-unique trio; crop 1.5 PET. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/98_1743082462.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KLYUKVA-APELSIN-1500-PET.webp,official_site
BAVARIA-DREAMIX-KLYUKVA-APELSIN-330-CAN,"Напиток газированный Dreamix Клюква-Апельсин, 0,33 л, банка",Газированные напитки,gazirovannye-napitki,Dreamix,Клюква-Апельсин,"0,33 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/98_1743082462.jpg,official_site,high,confirmed_ready,Crop 0.33 can. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/98_1743082462.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KLYUKVA-APELSIN-330-CAN.webp,official_site
BAVARIA-DREAMIX-KLYUKVA-APELSIN-500-PET,"Напиток газированный Dreamix Клюква-Апельсин, 0,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Dreamix,Клюква-Апельсин,"0,5 л",ПЭТ,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/98_1743082462.jpg,official_site,high,confirmed_ready,Crop 0.5 PET. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/98_1743082462.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KLYUKVA-APELSIN-500-PET.webp,official_site
BAVARIA-DREAMIX-KOLA-TSITRUS-1500-PET,"Напиток газированный Dreamix Кола-Цитрус, 1,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Dreamix,Кола-Цитрус,"1,5 л",ПЭТ,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/100_1743082523.jpg,official_site,high,confirmed_ready,Flavor-unique trio; crop 1.5 PET. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/100_1743082523.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KOLA-TSITRUS-1500-PET.webp,official_site
BAVARIA-DREAMIX-KOLA-TSITRUS-330-CAN,"Напиток газированный Dreamix Кола-Цитрус, 0,33 л, банка",Газированные напитки,gazirovannye-napitki,Dreamix,Кола-Цитрус,"0,33 л",банка,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/100_1743082523.jpg,official_site,high,confirmed_ready,Crop 0.33 can. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/100_1743082523.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KOLA-TSITRUS-330-CAN.webp,official_site
BAVARIA-DREAMIX-KOLA-TSITRUS-500-PET,"Напиток газированный Dreamix Кола-Цитрус, 0,5 л, ПЭТ",Газированные напитки,gazirovannye-napitki,Dreamix,Кола-Цитрус,"0,5 л",ПЭТ,missing,,exact_match_claimed_but_image_url_empty,,,exact,20,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,https://www.bavaria-group.ru/beer-product/bezalkogolnyj-silnogazirovannyj-napitok-dreamix,,https://www.bavaria-group.ru/files/beer_items/100_1743082523.jpg,official_site,high,confirmed_ready,Crop 0.5 PET. | Final crop from official_site (site_segs) | Final crop from official_site (site_segs) | Final crop from official_site (site_segs),artifacts/bavaria-import/image-completion-2026-07-31/source-downloads/100_1743082523.jpg,artifacts/bavaria-import/image-completion-2026-07-31/processed/BAVARIA-DREAMIX-KOLA-TSITRUS-500-PET.webp,official_site
